reco_mask,rad,deg,deg2
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0022584041322349663,0.12939702521196864,0.016743590133706847
False,,,
True,0.0006522276021004829,0.03736988888229566,0.0013965085950751245
True,0.0002262973016789838,0.01296588030140453,0.00016811405199035004
True,0.0024890678939581187,0.14261308524531655,0.020338492083187925
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0015125233733670875,0.08666120570882413,0.007510164574907132
True,9.81639211004087e-05,0.005624378379508626,3.163363215588408e-05
True,0.0006896491414063845,0.03951398514740674,0.0015613550222294806
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.020473992803749307,1.1730733774360544,1.3761011488492318
False,,,
False,,,
False,,,
True,0.0012726259914602638,0.07291609820932506,0.005316757378071937
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0033463216029567043,0.19173010474287153,0.03676043306471249
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.007174772517091355,0.41108418419578896,0.16899020649591734
True,0.006917904157633526,0.396366711308406,0.15710656983344126
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.00028885005676349045,0.01654988916466226,0.00027389883136260534
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0042820508832215765,0.24534344326886287,0.06019340515502174
False,,,
True,0.0039734225223659915,0.22766034075379726,0.05182923075213508
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.005771959529356326,0.3307089205524345,0.10936839013295643
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0018890079671115359,0.10823218398207843,0.011714205649530475
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0028013317012318293,0.1605044834967867,0.025761689222570272
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0029186219820059073,0.1672247215630458,0.027964107501838194
True,0.0023866251890512437,0.13674355061224847,0.01869879863404456
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.001975932201765573,0.11321257576515957,0.012817087311381996
False,,,
False,,,
False,,,
True,0.0077207041420888954,0.44236376221086676,0.19568569811735229
False,,,
True,0.005241656618195805,0.3003248018794356,0.09019498662392225
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.011999876078492731,0.6875422539776305,0.47271435100464054
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.06058053693351513,3.471009086926823,12.047904081528579
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.3699067477689595,21.19409546057166,449.18968239182425
False,,,
False,,,
False,,,
False,,,
True,0.0004160332244505935,0.023836947898237894,0.000568200085103308
True,0.009417615518369055,0.5395896222794558,0.2911569604716858
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.016191239885392547,0.9276897105168757,0.8606081989988845
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0018966975288335086,0.1086727634150528,0.01180976950826404
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.014144222322070403,0.810404243549363,0.6567550379628153
True,0.001769802540750062,0.10140221615650843,0.01028240944145126
False,,,
True,0.010185830505446873,0.5836050987977119,0.3405949113426871
True,0.005742945718940328,0.32904655166800506,0.10827163316460513
False,,,
False,,,
False,,,
True,0.0038309373553415084,0.21949654204007776,0.048178731967551625
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0020407415059594297,0.11692587536864706,0.013671660330724384
True,0.007340451424766814,0.4205768863599304,0.1768849173402138
False,,,
True,0.0005883501518585376,0.03370998057737527,0.0011363627905270181
True,0.0031683102228351853,0.1815308039566095,0.03295343278513299
False,,,
False,,,
False,,,
False,,,
True,0.010481951218597803,0.6005715658876642,0.36068620575276106
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.004137513073970416,0.23706203681870444,0.05619840930063278
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0003289029735506114,0.018844752253752976,0.0003551246875053279
True,0.002272583959851002,0.13020946948859055,0.016954505944500195
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0109177890570829,0.6255432345849647,0.39130433833502026
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.001792248973165983,0.10268830199906637,0.010544887367451457
False,,,
False,,,
False,,,
True,0.0006958830070417226,0.03987115933836325,0.001589709346985151
True,0.006754855984490314,0.38702473912998164,0.14978814869863036
True,0.0015255183829101958,0.08740576491037647,0.0076397677395679976
True,0.0013808575431812325,0.07911730933308846,0.006259548636107606
False,,,
False,,,
False,,,
False,,,
True,0.006993625436393317,0.4007052210006756,0.1605646741372003
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0006180161205871537,0.035409715380692056,0.0012538479433416194
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0071150507376927016,0.40766237829123475,0.1661886146740658
False,,,
True,0.0013578997930996375,0.07780192714629694,0.006053139867677697
False,,,
True,0.049048263083851955,2.8102584671520368,7.897552652199715
False,,,
False,,,
False,,,
False,,,
True,0.0030467233290521786,0.17456438809873778,0.030472725592286747
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.001950972356595583,0.11178248197961914,0.012495323277523878
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.03475293674890864,1.9911966013975655,3.9648639054172152
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0016305375143701084,0.09342291791115903,0.008727841591035158
False,,,
False,,,
False,,,
False,,,
True,0.00666907279271903,0.38210972428832574,0.1460078413957003
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0059391494211804095,0.3402881957312032,0.11579605615399767
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.007825357594446,0.44835996334240225,0.20102665672840028
True,0.0010488001084788137,0.060091819768698936,0.003611026803113796
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.004219194008340016,0.24174200962476758,0.058439199217421224
True,0.001837773298139023,0.10529665368520356,0.011087385277301694
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0005787890891932088,0.033162172038991834,0.0010997296543436919
True,0.009648793739417261,0.5528351586608605,0.3056267126515788
False,,,
False,,,
True,0.005336743905588722,0.3057729021323972,0.09349706767846856
False,,,
True,0.0040575454812453,0.2324802312577342,0.05404705792564957
False,,,
True,0.009775646637420712,0.5601032943354618,0.31371570032543694
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.021251010015765123,1.2175931842935825,1.4825331624381861
False,,,
False,,,
False,,,
True,0.00727248880442531,0.4166829150497122,0.1736246516943257
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
True,0.0005328797026019239,0.03053175794727671,0.0009321882433510946
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
False,,,
