true_energy_low,true_energy_high,true_energy_center,bin_width,angular_resolution,n_total,n_reco,aeff
0.01,0.018329807108324356,0.014164903554162177,0.008329807108324356,,2216.0,0.0,0.0
0.018329807108324356,0.03359818286283781,0.025963994985581086,0.015268375754513456,0.09329962253497942,20766.0,1.0,4.8155639025329867e-05
0.03359818286283781,0.06158482110660264,0.04759150198472023,0.02798663824376483,0.4106231453902891,79439.0,132.0,0.0016616523370133057
0.06158482110660264,0.11288378916846889,0.08723430513753577,0.05129896806186625,0.2923307242904685,121702.0,2526.0,0.020755616177219768
0.11288378916846889,0.20691380811147891,0.15989879863997392,0.09403001894301002,0.2472053557152957,106221.0,13691.0,0.12889165042694006
0.20691380811147891,0.37926901907322497,0.2930914135923519,0.17235521096174605,0.184278685297902,80312.0,19688.0,0.2451439386393067
0.37926901907322497,0.6951927961775606,0.5372309076253927,0.3159237771043356,0.13892525431128427,59292.0,17235.0,0.2906800242865817
0.6951927961775606,1.2742749857031335,0.984733890940347,0.5790821895255729,0.12067966946557171,43856.0,14146.0,0.3225556366289675
1.2742749857031335,2.3357214690901213,1.8049982273966274,1.0614464833869879,0.12927968545667023,32728.0,11510.0,0.35168662918601806
2.3357214690901213,4.281332398719392,3.3085269339047567,1.9456109296292703,0.15083075331024406,23989.0,9148.0,0.3813414481637417
4.281332398719392,7.847599703514606,6.064466051116999,3.5662673047952147,0.19257982441974322,17316.0,7044.0,0.4067914067914068
7.847599703514606,14.38449888287663,11.116049293195617,6.536899179362023,0.28258787679686614,12480.0,5399.0,0.4326121794871795
14.38449888287663,26.366508987303583,20.375503935090105,11.982010104426953,0.3931493866022963,8876.0,4256.0,0.4794952681388013
26.366508987303583,48.32930238571752,37.34790568651055,21.962793398413936,0.5417875487089397,5614.0,3011.0,0.5363377271107944
48.32930238571752,88.58667904100822,68.45799071336288,40.257376655290706,0.5914492501041403,3420.0,1949.0,0.5698830409356725
88.58667904100822,162.3776739188721,125.48217647994016,73.79099487786387,0.5828262945709605,2048.0,1206.0,0.5888671875
162.3776739188721,297.63514416313194,230.00640904100203,135.25747024425985,0.6570594040354258,1247.0,765.0,0.6134723336006416
297.63514416313194,545.5594781168514,421.5973111399917,247.9243339537195,0.8215000781183603,132.0,76.0,0.5757575757575758
545.5594781168514,1000.0,772.7797390584258,454.44052188314856,,,,
