true_energy_low,true_energy_high,true_energy_center,bin_width,angular_resolution,n_total,n_reco,aeff
0.01,0.018329807108324356,0.014164903554162177,0.008329807108324356,0.7367556140891236,2216.0,19.0,0.008574007220216607
0.018329807108324356,0.03359818286283781,0.025963994985581086,0.015268375754513456,0.5315530900448712,20766.0,500.0,0.02407781951266493
0.03359818286283781,0.06158482110660264,0.04759150198472023,0.02798663824376483,0.40536640974685834,79439.0,7711.0,0.09706819068719395
0.06158482110660264,0.11288378916846889,0.08723430513753577,0.05129896806186625,0.3384559275972476,121702.0,30384.0,0.24965900313881448
0.11288378916846889,0.20691380811147891,0.15989879863997392,0.09403001894301002,0.26204337855616844,106221.0,40641.0,0.38260795887818794
0.20691380811147891,0.37926901907322497,0.2930914135923519,0.17235521096174605,0.20840865844903386,80312.0,34899.0,0.43454278314573164
0.37926901907322497,0.6951927961775606,0.5372309076253927,0.3159237771043356,0.1858815612845513,59292.0,27290.0,0.4602644538892262
0.6951927961775606,1.2742749857031335,0.984733890940347,0.5790821895255729,0.1871708507628473,43856.0,21267.0,0.48492794600510764
1.2742749857031335,2.3357214690901213,1.8049982273966274,1.0614464833869879,0.2188994884597087,32728.0,16174.0,0.49419457345392326
2.3357214690901213,4.281332398719392,3.3085269339047567,1.9456109296292703,0.2885082620604258,23989.0,12274.0,0.5116511734545
4.281332398719392,7.847599703514606,6.064466051116999,3.5662673047952147,0.4493287731416617,17316.0,9039.0,0.522002772002772
7.847599703514606,14.38449888287663,11.116049293195617,6.536899179362023,0.7818416531729041,12480.0,6689.0,0.5359775641025641
14.38449888287663,26.366508987303583,20.375503935090105,11.982010104426953,1.1983530238487614,8876.0,5035.0,0.5672600270392069
26.366508987303583,48.32930238571752,37.34790568651055,21.962793398413936,1.6628586833090377,5614.0,3398.0,0.6052725329533309
48.32930238571752,88.58667904100822,68.45799071336288,40.257376655290706,2.1302683440085177,3420.0,2122.0,0.62046783625731
88.58667904100822,162.3776739188721,125.48217647994016,73.79099487786387,2.2334119135553347,2048.0,1286.0,0.6279296875
162.3776739188721,297.63514416313194,230.00640904100203,135.25747024425985,3.4177504375798233,1247.0,810.0,0.6495589414595028
297.63514416313194,545.5594781168514,421.5973111399917,247.9243339537195,3.68173915520644,132.0,83.0,0.6287878787878788
545.5594781168514,1000.0,772.7797390584258,454.44052188314856,,,,
