unique_file_id,tp,tn,fp,fn,TPR,FPR,TNR,FNR,PPV,ACC,BA
553,909303.0,2352131620.0,0.0,116572517.0,0.007739946487039442,0.0,1.0,0.9922600535129605,1.0,0.9256064690026954,0.5038699732435197
833,1571640.0,2352131613.0,7.0,115910180.0,0.013377729422305511,2.9760239352592013e-09,0.999999997023976,0.9866222705776945,0.9999955460736413,0.9256064690026954,0.5066888632231408
549,3774136.0,2352131617.0,3.0,113707684.0,0.032125276915185685,1.2754388293968005e-09,0.9999999987245611,0.9678747230848144,0.9999992051167167,0.9256064690026954,0.5160626378198734
271,4646734.0,2352131620.0,0.0,112835086.0,0.03955279208306443,0.0,1.0,0.9604472079169356,1.0,0.9256064690026954,0.5197763960415323
12,7138059.0,2352131560.0,60.0,110343761.0,0.060758839112298395,2.550877658793601e-08,0.9999999744912235,0.9392411608877016,0.9999915944242453,0.9256064690026954,0.5303794068017609
767,12245981.0,2352131588.0,32.0,105235839.0,0.1042372428346786,1.3604680846899206e-08,0.9999999863953192,0.8957627571653214,0.9999973869046195,0.9256064690026954,0.5521186146149989
722,16736088.0,2352126696.0,4924.0,100745732.0,0.14245683289550673,2.0934202653166153e-06,0.9999979065797346,0.8575431671044933,0.9997058720225516,0.9256064690026954,0.5712273697376207
691,17198196.0,2352131401.0,219.0,100283624.0,0.14639027553369535,9.310703454596643e-08,0.9999999068929655,0.8536097244663047,0.9999872662684323,0.9272237196765498,0.5731950912133305
608,23968130.0,2352121742.0,9878.0,93513690.0,0.2040156511024429,4.199594918927199e-06,0.9999958004050811,0.7959843488975571,0.999588039173229,0.9326145552560647,0.602005725753762
503,31189436.0,2352030789.0,100831.0,86292384.0,0.2654830849573151,4.286792420230293e-05,0.9999571320757977,0.7345169150426849,0.9967775602553983,0.9369272237196765,0.6327201085165564
