true_energy_low,true_energy_high,true_energy_center,bin_width,angular_resolution,n_total,n_reco,aeff
0.01,0.018329807108324356,0.014164903554162177,0.008329807108324356,1.1462833812147313,2216.0,8.0,0.0036101083032490976
0.018329807108324356,0.03359818286283781,0.025963994985581086,0.015268375754513456,0.49521739505495904,20766.0,172.0,0.008282769912356738
0.03359818286283781,0.06158482110660264,0.04759150198472023,0.02798663824376483,0.43472249362843096,79439.0,3544.0,0.04461284759375118
0.06158482110660264,0.11288378916846889,0.08723430513753577,0.05129896806186625,0.34532968333621933,121702.0,19833.0,0.16296363247933476
0.11288378916846889,0.20691380811147891,0.15989879863997392,0.09403001894301002,0.2679902537531627,106221.0,33338.0,0.31385507573831917
0.20691380811147891,0.37926901907322497,0.2930914135923519,0.17235521096174605,0.20106168613052486,80312.0,29888.0,0.372148620380516
0.37926901907322497,0.6951927961775606,0.5372309076253927,0.3159237771043356,0.1721340121488341,59292.0,23775.0,0.40098158267557177
0.6951927961775606,1.2742749857031335,0.984733890940347,0.5790821895255729,0.16306516290200992,43856.0,18809.0,0.4288808828894564
1.2742749857031335,2.3357214690901213,1.8049982273966274,1.0614464833869879,0.17239189915479647,32728.0,14601.0,0.44613175262771937
2.3357214690901213,4.281332398719392,3.3085269339047567,1.9456109296292703,0.19896849038643669,23989.0,11345.0,0.4729250906665555
4.281332398719392,7.847599703514606,6.064466051116999,3.5662673047952147,0.24771895997492607,17316.0,8588.0,0.49595749595749594
7.847599703514606,14.38449888287663,11.116049293195617,6.536899179362023,0.35067034257853785,12480.0,6415.0,0.5140224358974359
14.38449888287663,26.366508987303583,20.375503935090105,11.982010104426953,0.4566116837738801,8876.0,4963.0,0.5591482649842271
26.366508987303583,48.32930238571752,37.34790568651055,21.962793398413936,0.5970548503188928,5614.0,3389.0,0.6036693979337371
48.32930238571752,88.58667904100822,68.45799071336288,40.257376655290706,0.6246259782828318,3420.0,2144.0,0.6269005847953216
88.58667904100822,162.3776739188721,125.48217647994016,73.79099487786387,0.6215153049644643,2048.0,1297.0,0.63330078125
162.3776739188721,297.63514416313194,230.00640904100203,135.25747024425985,0.7539642857229913,1247.0,820.0,0.6575781876503609
297.63514416313194,545.5594781168514,421.5973111399917,247.9243339537195,0.6335197088323299,132.0,82.0,0.6212121212121212
545.5594781168514,1000.0,772.7797390584258,454.44052188314856,,,,
