true_energy_low,true_energy_high,true_energy_center,bin_width,angular_resolution,n_total,n_reco,aeff
0.01,0.018329807108324356,0.014164903554162177,0.008329807108324356,0.7872656343050202,2216.0,43.0,0.0194043321299639
0.018329807108324356,0.03359818286283781,0.025963994985581086,0.015268375754513456,0.5355837301958349,20766.0,1139.0,0.054849272849850715
0.03359818286283781,0.06158482110660264,0.04759150198472023,0.02798663824376483,0.4113482985592903,79439.0,12281.0,0.15459660871863945
0.06158482110660264,0.11288378916846889,0.08723430513753577,0.05129896806186625,0.34494997636573327,121702.0,37553.0,0.3085651838096334
0.11288378916846889,0.20691380811147891,0.15989879863997392,0.09403001894301002,0.2709967573295251,106221.0,44258.0,0.4166596059159677
0.20691380811147891,0.37926901907322497,0.2930914135923519,0.17235521096174605,0.21950185092074728,80312.0,37165.0,0.46275774479529835
0.37926901907322497,0.6951927961775606,0.5372309076253927,0.3159237771043356,0.1954801728918099,59292.0,28968.0,0.4885650678000405
0.6951927961775606,1.2742749857031335,0.984733890940347,0.5790821895255729,0.18353274739384157,43856.0,22716.0,0.5179678949288581
1.2742749857031335,2.3357214690901213,1.8049982273966274,1.0614464833869879,0.1990555487702227,32728.0,17524.0,0.5354436568076265
2.3357214690901213,4.281332398719392,3.3085269339047567,1.9456109296292703,0.24293960513957727,23989.0,13497.0,0.5626328734003084
4.281332398719392,7.847599703514606,6.064466051116999,3.5662673047952147,0.3280161494571285,17316.0,10073.0,0.5817163317163317
7.847599703514606,14.38449888287663,11.116049293195617,6.536899179362023,0.49979720864977684,12480.0,7484.0,0.5996794871794872
14.38449888287663,26.366508987303583,20.375503935090105,11.982010104426953,0.6730418771916677,8876.0,5602.0,0.6311401532221721
26.366508987303583,48.32930238571752,37.34790568651055,21.962793398413936,0.7442056731274761,5614.0,3674.0,0.6544353402208763
48.32930238571752,88.58667904100822,68.45799071336288,40.257376655290706,0.7882949803598307,3420.0,2250.0,0.6578947368421053
88.58667904100822,162.3776739188721,125.48217647994016,73.79099487786387,0.8119404593265904,2048.0,1374.0,0.6708984375
162.3776739188721,297.63514416313194,230.00640904100203,135.25747024425985,1.0095230056256075,1247.0,864.0,0.6928628708901363
297.63514416313194,545.5594781168514,421.5973111399917,247.9243339537195,0.923790833526376,132.0,84.0,0.6363636363636364
545.5594781168514,1000.0,772.7797390584258,454.44052188314856,,,,
